timestamp,temperature_C,pressure_bar,flow_rate_lps,vibration_mms
2025-04-21 00:00:00,75.99,5.2,88.81,1.998
2025-04-21 00:01:00,74.72,5.35,89.4,1.989
2025-04-21 00:02:00,76.3,5.05,96.97,2.122
2025-04-21 00:03:00,78.05,4.61,102.29,1.892
2025-04-21 00:04:00,74.53,5.12,86.26,1.924
2025-04-21 00:05:00,74.53,4.8,97.5,2.104
2025-04-21 00:06:00,78.16,4.84,97.37,1.94
2025-04-21 00:07:00,76.53,5.18,106.94,2.09
2025-04-21 00:08:00,74.06,5.37,98.07,2.17
2025-04-21 00:09:00,76.09,5.01,101.91,1.96
2025-04-21 00:10:00,74.07,5.09,100.71,2.068
2025-04-21 00:11:00,74.07,5.51,89.35,1.885
2025-04-21 00:12:00,75.48,5.07,103.84,2.075
2025-04-21 00:13:00,71.17,5.78,101.08,2.02
2025-04-21 00:14:00,71.55,5.17,102.54,2.047
2025-04-21 00:15:00,73.88,4.47,119.63,1.935
2025-04-21 00:16:00,72.97,5.23,89.58,1.834
2025-04-21 00:17:00,75.63,5.11,108.62,2.05
2025-04-21 00:18:00,73.18,5.39,98.56,1.794
2025-04-21 00:19:00,72.18,5.2,101.44,1.968
2025-04-21 00:20:00,77.93,4.96,99.77,2.094
2025-04-21 00:21:00,74.55,4.63,97.88,2.019
2025-04-21 00:22:00,75.14,4.94,97.15,2.195
2025-04-21 00:23:00,72.15,4.74,101.65,2.103
2025-04-21 00:24:00,73.91,4.83,92.41,1.935
2025-04-21 00:25:00,75.22,5.18,103.75,2.003
2025-04-21 00:26:00,72.7,5.5,97.92,1.995
2025-04-21 00:27:00,75.75,5.12,94.35,1.842
2025-04-21 00:28:00,73.8,4.64,97.75,1.906
2025-04-21 00:29:00,74.42,5.13,106.29,1.944
2025-04-21 00:30:00,73.8,5.36,97.32,1.796
2025-04-21 00:31:00,78.7,4.82,101.79,2.005
2025-04-21 00:32:00,74.97,4.96,96.35,1.975
2025-04-21 00:33:00,72.88,5.0,103.79,1.833
2025-04-21 00:34:00,76.65,4.76,103.43,2.04
2025-04-21 00:35:00,72.56,5.19,109.24,2.072
2025-04-21 00:36:00,75.42,4.96,99.12,2.023
2025-04-21 00:37:00,71.08,5.13,103.34,1.968
2025-04-21 00:38:00,72.34,4.73,100.49,2.059
