sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
-0.048577126,0.03287321,-0.03062216,-0.024645919,0.05437973
-0.044732157,0.030293068,-0.036473453,-0.03751286,0.0527825
-0.043820985,0.025542265,-0.028996194,-0.026592096,0.06004376
-0.037853427,0.03809273,-0.019774802,-0.021711003,0.05510122
-0.051156025,0.04396622,-0.030006245,-0.020518692,0.058923215
-0.045436036,0.03240269,-0.019472137,-0.018369135,0.051080946
-0.02883006,0.05230365,-0.02158673,-0.013196849,0.034861278
-0.03146876,0.036594145,-0.025467763,-0.019775148,0.045161568
-0.05973522,0.027130278,-0.030921476,-0.0398084,0.061216783
-0.037694722,0.02177323,-0.01916157,-0.018130453,0.042494014
-0.053259943,0.03229022,-0.0409178,-0.027723672,0.060793847
-0.033186205,0.019521043,-0.03759185,-0.041844267,0.055637743
-0.048015278,0.03873979,-0.02729199,-0.025420455,0.05743205
-0.049090184,0.03136949,-0.016213624,-0.021506337,0.049824923
-0.05454022,0.04253855,-0.03818032,-0.02795369,0.061616935
-0.049066428,0.023652397,-0.0065827873,-0.002089104,0.046519678
-0.044381715,0.046862297,-0.012004191,-0.01531616,0.032022707
-0.052106027,0.03841837,-0.047134914,-0.02754783,0.051992625
-0.04343752,0.019247083,-0.0487173,-0.023915377,0.067735046
-0.057726894,0.0419684,-0.047303006,-0.024356287,0.06634127
-0.05279813,0.019410066,-0.02402707,-0.01358417,0.05400999
-0.049885083,0.038882423,-0.047788486,-0.0037801445,0.04360279
-0.06205472,0.048583504,-0.039379068,-0.015331857,0.036797985
-0.045919646,0.026965618,-0.03506034,-0.0171454,0.053689003
-0.03173425,0.038734075,-0.016603133,-0.036878902,0.049965505
-0.042107668,0.034684543,-0.021589117,-0.024129506,0.045934148
-0.06759582,0.028592002,-0.058253407,-0.023872219,0.049338557
-0.025518542,0.0675775,-0.023453735,-0.008055494,0.042475626
-0.044079494,0.03850008,-0.042058047,-0.012344358,0.053241715
-0.04612819,0.03545971,-0.040977433,-0.021848703,0.043805912
-0.02821621,0.04789505,-0.02443231,-0.013129384,0.03841305
-0.0462599,0.046832368,-0.034562547,-0.020207671,0.050341558
-0.03672829,0.040261813,-0.015254811,-0.01595218,0.041033812
-0.033548817,0.033794932,-0.032895315,-0.010158868,0.051166493
-0.036346845,0.05376556,-0.026188288,-0.005246527,0.042022932
-0.03259758,0.032367922,-0.032195527,-0.019332508,0.04389865
-0.033739675,0.038812786,-0.019964613,-0.01997957,0.04952218
-0.048211407,0.03279833,-0.024288118,-0.02608646,0.05424543
-0.044489432,0.026271706,-0.01563189,-0.015164992,0.04414045
-0.052441236,0.028862158,-0.040899683,-0.019485459,0.057672955
-0.049000803,0.023379343,-0.02554267,-0.019694446,0.049807876
-0.028482128,0.036896765,-0.019795978,-0.01595414,0.046828076
-0.04858566,0.026555657,-0.029923262,-0.019857332,0.05544728
-0.034492783,0.036734883,-0.026226424,-0.03849466,0.05167267
-0.05125913,0.04557154,-0.022426605,-0.015849864,0.050001204
-0.052110363,0.050541904,-0.049415674,-0.03306589,0.057752125
